p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
YWHAH	6.9475977826117e-150	0.293134395734076	0.323	0.198	1.49178819588238e-145	1	YWHAH
CCDC107	3.70517727712376e-148	0.309167809350132	0.536	0.414	7.95575664944014e-144	1	CCDC107
IDI1	4.1307548201052e-144	0.264999533080519	0.652	0.536	8.86955674972988e-140	1	IDI1
PRR7	8.38854697405209e-144	0.292363683578672	0.538	0.415	1.80118880626846e-139	1	PRR7
DUSP1	8.24023922374051e-142	0.250309808135136	0.969	0.937	1.76934416612156e-137	1	DUSP1
EIF1AX	1.08887068212896e-140	0.258392001892016	0.642	0.526	2.3380231286673e-136	1	EIF1AX
HECTD1	1.08264852045055e-139	0.29131512036065	0.296	0.181	2.32466290311142e-135	1	HECTD1
DBF4	2.48682492350615e-138	0.264096420662273	0.37	0.246	5.33971047575241e-134	1	DBF4
ECH1	6.19926374606172e-137	0.256620354710325	0.488	0.361	1.33110591155437e-132	1	ECH1
RGCC	3.86228083956539e-136	0.366603645830931	0.651	0.54	8.29308941871481e-132	1	RGCC
ARF4	7.38094487026114e-134	0.264933254693716	0.502	0.376	1.58483648254247e-129	1	ARF4
MPG	4.32196643296792e-132	0.260320550112081	0.295	0.183	9.28012632486871e-128	1	MPG
CLIC3	6.17870959467458e-130	0.258368385096168	0.776	0.682	1.32669252416853e-125	1	CLIC3
FAM43A	2.81504130406617e-123	0.261309046147052	0.37	0.252	6.04445668809089e-119	1	FAM43A
SNHG9	2.99895653288011e-120	0.271005349616932	0.526	0.414	6.43935946740017e-116	1	SNHG9
EOMES	4.64440654717865e-113	0.265722843920214	0.289	0.185	9.972469738102e-109	1	EOMES
AL118516.1	3.2919491329204e-111	0.284883578003115	0.478	0.371	7.06847317820668e-107	1	AL118516.1
THAP2	5.34401001021577e-111	0.352654051896672	0.461	0.355	1.14746582939353e-106	1	THAP2
H1FX	2.34230229511348e-96	0.323408114391602	0.647	0.572	5.02939148806767e-92	1	H1FX
ILF3-DT	7.76504130418544e-93	0.350575540167264	0.509	0.414	1.6673096688347e-88	1	ILF3-DT
CCL3L1	7.09643103619335e-49	0.297719214380339	0.552	0.481	1.52374567209144e-44	1	CCL3L1
IL7R	0	1.81135677703877	0.68	0.05	0	2	IL7R
LMNA	0	1.25506518044894	0.853	0.402	0	2	LMNA
SELL	0	1.12331846616754	0.567	0.077	0	2	SELL
CD44	0	1.02456232198529	0.906	0.484	0	2	CD44
GNLY1	0	0.979370468269752	0.958	0.636	0	2	GNLY
IGFBP2	0	0.862441344883148	0.388	0.041	0	2	IGFBP2
DUSP4	0	0.85450734187353	0.484	0.081	0	2	DUSP4
YBX3	0	0.830989642128058	0.401	0.072	0	2	YBX3
GPR183	0	0.782020708217235	0.398	0.058	0	2	GPR183
TNFRSF18	0	0.769816542411513	0.621	0.2	0	2	TNFRSF18
GNA15	0	0.597824525173765	0.278	0.026	0	2	GNA15
CAPG	0	0.588723632537178	0.371	0.058	0	2	CAPG
BMP2	0	0.572245110761099	0.253	0.011	0	2	BMP2
RPS24	0	0.449983421620026	1	1	0	2	RPS24
CD55	7.50930415959039e-307	0.825647961166105	0.816	0.382	1.61239778914725e-302	2	CD55
VIM	2.68289700903756e-305	1.17313266892815	0.958	0.82	5.76071645780545e-301	2	VIM
SPTSSB	6.46220724343395e-305	0.533903512454118	0.306	0.053	1.38756513931014e-300	2	SPTSSB
TPT1	4.33487125057877e-302	0.377854329569746	1	1	9.30783554924274e-298	2	TPT1
RPL13	9.02664360173762e-299	0.379312324372175	1	1	1.9382009141651e-294	2	RPL13
RPS14	5.5195171537489e-288	0.380487516185157	1	1	1.18515072325296e-283	2	RPS14
RPL28	5.06684729625837e-287	0.335704590061425	1	1	1.0879534514526e-282	2	RPL28
RPL13A	1.62998814269181e-276	0.465558528611644	1	0.992	3.49991053998785e-272	2	RPL13A
RPS18	2.71518924082365e-272	0.460153729371313	1	0.998	5.83005433789653e-268	2	RPS18
RPS23	4.91694718731962e-263	0.362329291081601	1	1	1.05576690006127e-258	2	RPS23
RGCC1	1.3398419395257e-259	0.981541720477484	0.881	0.572	2.87690861254959e-255	2	RGCC
RPS2	7.56384052154465e-244	0.381096166651307	0.999	0.999	1.62410783678607e-239	2	RPS2
RPL41	1.29139674662456e-238	0.287707375096566	1	1	2.77288709435226e-234	2	RPL41
KLRC11	1.05231312236401e-235	0.742147041471922	0.767	0.358	2.25952673634e-231	2	KLRC1
RPL10A	2.60587880634852e-232	0.426676520751048	0.997	0.986	5.59534297299154e-228	2	RPL10A
RPS12	1.58342887341988e-227	0.321890762757717	1	1	3.39993847700717e-223	2	RPS12
TMEM123	1.81486822806381e-225	0.639134393867797	0.526	0.185	3.8968850592986e-221	2	TMEM123
RPS27	1.67566290896419e-224	0.312697384743333	1	1	3.59798339812791e-220	2	RPS27
XCL11	1.77380869635754e-224	0.610839386359901	0.91	0.538	3.8087220328189e-220	2	XCL1
RPL32	1.6842633551915e-220	0.316629161697411	1	1	3.6164502762672e-216	2	RPL32
RPS28	6.57248291458645e-218	0.335626626015637	1	0.999	1.41124353142e-213	2	RPS28
RPS5	9.78529470346068e-216	0.400560293212793	0.999	0.985	2.10109847872708e-211	2	RPS5
RPL9	1.08451464967815e-214	0.379932959308038	0.999	0.994	2.32866985578892e-210	2	RPL9
RPL26	2.01313390332818e-213	0.341378595468583	1	0.998	4.32260111722626e-209	2	RPL26
IFI44L	4.00496036004346e-207	0.576627046353955	0.431	0.129	8.59945088508533e-203	2	IFI44L
RPS19	1.47783718105496e-204	0.368924014839076	1	0.999	3.1732119951612e-200	2	RPS19
RPL34	1.96626971767576e-204	0.312819332290157	1	1	4.2219743377934e-200	2	RPL34
RPL23A	3.8495081401964e-204	0.387630711678363	0.999	0.993	8.26566387862972e-200	2	RPL23A
RPS25	6.4492665938459e-202	0.347750341436503	1	0.995	1.38478652303059e-197	2	RPS25
RPL11	3.84266208558064e-196	0.289872042483	1	1	8.25096403015875e-192	2	RPL11
RRAD	5.50272012295216e-196	0.770859899495599	0.303	0.076	1.18154406480029e-191	2	RRAD
RPL19	2.21206147645855e-193	0.282505398449794	1	1	4.7497384022518e-189	2	RPL19
RPL29	1.99029111544726e-188	0.312318479844655	1	0.999	4.27355308308835e-184	2	RPL29
RPS3A	3.2914281943003e-178	0.287631486448471	1	1	7.0673546188016e-174	2	RPS3A
RPL18A	1.25352480269278e-175	0.321600221259628	1	0.998	2.69156845634194e-171	2	RPL18A
RPL8	2.70077140253134e-175	0.324419396582572	1	0.997	5.7990963555153e-171	2	RPL8
COTL11	2.03646721439208e-173	0.618173303202703	0.73	0.373	4.37270240274267e-169	2	COTL1
RPLP11	9.65742413961383e-173	0.295925919633524	1	1	2.07364211125788e-168	2	RPLP1
CXCR3	4.81254556356682e-169	0.500871585441824	0.341	0.102	1.03334978340907e-164	2	CXCR3
RPS6	7.05918226855595e-168	0.347342875008976	0.999	0.995	1.51574761670433e-163	2	RPS6
KLHL6	5.01404861924664e-166	0.405519226941504	0.268	0.067	1.07661651952464e-161	2	KLHL6
RPL36	4.2456101176496e-165	0.358191255143216	0.998	0.984	9.11617404461722e-161	2	RPL36
RPL7A	7.36784350665423e-165	0.28726445925166	1	0.999	1.5820233577488e-160	2	RPL7A
PIM3	1.08650908131953e-163	0.619375440418056	0.788	0.473	2.3329522994093e-159	2	PIM3
RPS9	1.73350409695508e-159	0.367411251574343	0.992	0.976	3.72217999698194e-155	2	RPS9
GRASP	8.84028709382679e-152	0.619561351691908	0.832	0.529	1.89818644478649e-147	2	GRASP
PLP2	6.32703184262016e-144	0.598381172348436	0.543	0.251	1.3585402772474e-139	2	PLP2
RPL18	2.09786273172107e-141	0.266718921667011	1	0.998	4.50453085755148e-137	2	RPL18
RPL35A	5.1004761897343e-136	0.265360664959281	1	0.998	1.09517424745975e-131	2	RPL35A
RPL37	1.60313496093044e-134	0.255806007296539	1	0.999	3.44225138810984e-130	2	RPL37
RPL35	1.66981060781181e-133	0.347664141032134	0.991	0.958	3.58541733709352e-129	2	RPL35
TCF7	1.21615851591845e-130	0.513210407042165	0.578	0.289	2.6113355653801e-126	2	TCF7
RPL24	2.25536097470758e-129	0.28440071990291	1	0.994	4.84271108489212e-125	2	RPL24
RPL37A	1.05675048284514e-128	0.2927084973046	0.999	0.988	2.26905463676509e-124	2	RPL37A
RPLP0	1.12898764701325e-126	0.39571633515598	0.991	0.952	2.42416227566684e-122	2	RPLP0
RPL12	1.03589209975587e-124	0.267225545009332	1	0.998	2.2242675165958e-120	2	RPL12
FXYD5	1.15262873488284e-123	0.494930782411612	0.86	0.632	2.47492441954043e-119	2	FXYD5
RPS13	1.12540520216751e-121	0.255855872108166	1	0.998	2.41647005009407e-117	2	RPS13
RPSA	1.16413960108638e-115	0.316240025979674	0.999	0.987	2.49964055145267e-111	2	RPSA
TAGLN2	1.7519682328602e-115	0.497359299603471	0.91	0.769	3.76182618959742e-111	2	TAGLN2
RPS29	4.24521317530625e-115	0.26201761563576	0.999	0.995	9.11532173001757e-111	2	RPS29
PLK2	1.6008091360619e-109	0.467347502343391	0.38	0.155	3.43725737695212e-105	2	PLK2
MYC	6.28219473475311e-107	0.405895991583877	0.271	0.091	1.34891285344619e-102	2	MYC
EZR	1.70277379561586e-106	0.534878514699131	0.821	0.623	3.65619589394638e-102	2	EZR
XCL21	1.49548698120566e-104	0.46545369782125	0.924	0.74	3.2111096460448e-100	2	XCL2
RPL21	1.62934413161056e-104	0.255821714615766	1	0.999	3.4985277193942e-100	2	RPL21
RPL3	1.56644748012473e-102	0.279273399538725	0.999	0.994	3.36347602932382e-98	2	RPL3
PMEPA1	2.46673158826727e-102	0.414228969807332	0.255	0.084	5.29656606632747e-98	2	PMEPA1
RPS16	6.94962994646553e-102	0.262574685459863	0.996	0.988	1.49222454210508e-97	2	RPS16
RPS21	6.3272234454879e-101	0.252070122509958	1	0.99	1.35858141821516e-96	2	RPS21
RPL27A	7.15957196557504e-100	0.370141402256777	0.947	0.829	1.53730329244827e-95	2	RPL27A
RPL38	5.17650528266032e-96	0.311721988746416	0.986	0.917	1.11149921429282e-91	2	RPL38
LY6E	7.45590396660161e-96	0.439341353486761	0.859	0.687	1.6009316997087e-91	2	LY6E
REL1	1.88876549693794e-92	0.361673052844513	0.962	0.873	4.05555727502515e-88	2	REL
RPL27	2.5786792580206e-92	0.293337174425189	0.981	0.938	5.53694010282183e-88	2	RPL27
LDLRAD4	1.48938566011799e-90	0.442615244994203	0.264	0.095	3.19800888940534e-86	2	LDLRAD4
RPS11	2.3865018932342e-90	0.309220455353452	0.978	0.936	5.12429686515248e-86	2	RPS11
NINJ1	7.95623040106663e-89	0.453993554527027	0.646	0.395	1.70836179171703e-84	2	NINJ1
PRDX1	3.14952049323518e-83	0.486988929671932	0.457	0.237	6.76265040307458e-79	2	PRDX1
N4BP3	4.68343128575763e-83	0.333028164160893	0.253	0.093	1.00562636567788e-78	2	N4BP3
HSPD1	1.20160130911179e-81	0.553710386234999	0.886	0.753	2.58007833092483e-77	2	HSPD1
RPL23	5.98076955330588e-80	0.31510983047325	0.946	0.847	1.28419083848584e-75	2	RPL23
RPL31	8.1680664143871e-80	0.30784889340731	0.937	0.842	1.7538472204972e-75	2	RPL31
TNFAIP3	2.13745284156349e-79	0.352682827152878	0.95	0.836	4.58953874140512e-75	2	TNFAIP3
STARD10	7.96200936397587e-77	0.314416318225668	0.285	0.116	1.7096026506329e-72	2	STARD10
CD521	1.03439699125212e-75	0.302349750600406	0.688	0.39	2.22105721961656e-71	2	CD52
RPL7	1.73440093986695e-74	0.275985952764403	0.979	0.931	3.72410569808232e-70	2	RPL7
C1orf162	4.51595712244106e-74	0.321247570021812	0.344	0.154	9.69666313330543e-70	2	C1orf162
CRTAM	1.62398783954407e-73	0.6189920084471	0.516	0.299	3.48702668906903e-69	2	CRTAM
EEF1B2	2.36520980518237e-72	0.2614137367667	0.986	0.949	5.07857849368758e-68	2	EEF1B2
GADD45G1	1.16585901829309e-71	0.464022664061969	0.562	0.337	2.50333248407891e-67	2	GADD45G
IFITM31	2.91751521993284e-71	0.408089752210029	0.718	0.505	6.26448868023979e-67	2	IFITM3
RPS20	3.80244185916628e-71	0.263779715745486	0.969	0.918	8.16460316000184e-67	2	RPS20
HSPH11	2.21848746195765e-69	0.501720646127844	0.703	0.516	4.76353627831546e-65	2	HSPH1
SOCS3	1.10430603834843e-67	0.335389656005631	0.302	0.134	2.37116592554175e-63	2	SOCS3
SKI	3.95477887129417e-66	0.33130135618849	0.362	0.178	8.49170119244285e-62	2	SKI
NFKB1	3.78994535496158e-64	0.369445307044884	0.748	0.539	8.1377706661735e-60	2	NFKB1
AHNAK1	5.49310563703987e-64	0.382829159681547	0.513	0.296	1.1794796423852e-59	2	AHNAK
IFI6	2.32337480818217e-62	0.409589965545658	0.454	0.259	4.98875038812875e-58	2	IFI6
IGHG4	4.86009047498174e-60	0.332011969012058	0.341	0.162	1.04355862678808e-55	2	IGHG4
RALA	6.19708014115071e-60	0.283505101213628	0.262	0.115	1.33063704790788e-55	2	RALA
IL18	7.2207985160882e-60	0.290451941477967	0.255	0.11	1.55044985737446e-55	2	IL18
ISG15	8.25159154735214e-60	0.536178540846031	0.631	0.459	1.77178173704745e-55	2	ISG15
RBPJ	9.0635686489506e-59	0.388691905302633	0.311	0.153	1.94612946030267e-54	2	RBPJ
RARA	6.01719247422099e-58	0.316263728746585	0.297	0.141	1.29201156806473e-53	2	RARA
IRF7	2.44596933780229e-55	0.377942447333991	0.487	0.299	5.25198536212907e-51	2	IRF7
LRRFIP11	6.32019405935057e-55	0.355864301737091	0.794	0.637	1.35707206842375e-50	2	LRRFIP1
MRPS6	3.99398866747812e-54	0.448714359114079	0.5	0.31	8.57589246680902e-50	2	MRPS6
RGS16	1.38385405870122e-53	0.343640204995477	0.338	0.175	2.97141143484326e-49	2	RGS16
MAFF	2.44301871841245e-53	0.357269620671394	0.72	0.543	5.24564979217521e-49	2	MAFF
PGK1	9.93119180744284e-53	0.381548225645965	0.802	0.649	2.13242550489413e-48	2	PGK1
AREG1	2.08629233046319e-52	0.284056790385288	0.896	0.719	4.47968689197055e-48	2	AREG
FAM129A	1.21124489625801e-51	0.278474896130037	0.287	0.139	2.60078504124521e-47	2	FAM129A
SMAP2	4.06872204319205e-51	0.328345755418292	0.834	0.685	8.73635997114196e-47	2	SMAP2
GZMK1	8.22722026807122e-51	0.258968682862883	0.772	0.519	1.76654873596025e-46	2	GZMK
MYADM	2.94484228550296e-50	0.340160858451973	0.745	0.566	6.32316535543197e-46	2	MYADM
NSMCE1	3.9490255117151e-50	0.279237575120807	0.29	0.142	8.47934757875465e-46	2	NSMCE1
CD2	2.86703493366938e-49	0.327625429918765	0.584	0.385	6.1560974095749e-45	2	CD2
HSPE1	8.61046430252364e-49	0.509557880978216	0.92	0.87	1.84883889503788e-44	2	HSPE1
NOP53	9.13648611735593e-49	0.31352837623963	0.74	0.563	1.96178629911867e-44	2	NOP53
HSPB11	1.40010691171198e-48	0.63556182714432	0.589	0.421	3.00630956082797e-44	2	HSPB1
MAP2K3	7.52546342510626e-47	0.344380922265484	0.551	0.375	1.61586750663882e-42	2	MAP2K3
ITGAX	1.61946181515236e-45	0.277672166846874	0.274	0.138	3.47730840949515e-41	2	ITGAX
IGHG3	1.60733933064209e-44	0.254605503888977	0.277	0.135	3.4512790107547e-40	2	IGHG3
HLA-DRA1	2.58738675073826e-44	0.363025962059035	0.362	0.206	5.5556368311852e-40	2	HLA-DRA
ATP1B1	4.19982483376599e-44	0.273922067166554	0.307	0.162	9.01786388306234e-40	2	ATP1B1
LDHA1	8.78749946867204e-44	0.270695952784767	0.925	0.843	1.88685188591326e-39	2	LDHA
FAM177A11	2.2582719060597e-43	0.276944258386623	0.877	0.748	4.84896143669139e-39	2	FAM177A1
IGLC2	2.63903432609102e-43	0.352209794696265	0.334	0.181	5.66653450498264e-39	2	IGLC2
IGKC1	4.07830111545867e-42	0.351284234797488	0.53	0.342	8.75692815511285e-38	2	IGKC
HINT1	4.86459506510417e-41	0.250975686900986	0.885	0.78	1.04452585237917e-36	2	HINT1
IRS2	1.23900054787268e-40	0.264292054856996	0.418	0.252	2.66038197639221e-36	2	IRS2
FKBP41	5.79318013279639e-40	0.359013498071432	0.357	0.209	1.24391163811404e-35	2	FKBP4
SLC7A5	6.35567527487946e-40	0.294730392547147	0.457	0.292	1.36469059502212e-35	2	SLC7A5
RASGEF1B	1.38733357580452e-39	0.284018721476406	0.419	0.258	2.97888265396746e-35	2	RASGEF1B
NUDC	1.92124853727984e-39	0.370395369242351	0.487	0.33	4.12530485924728e-35	2	NUDC
POLR2K	3.55579035733232e-39	0.320383598439008	0.635	0.467	7.63499305526396e-35	2	POLR2K
FAM107B	1.01451978318081e-34	0.371212063302447	0.629	0.49	2.17837687844584e-30	2	FAM107B
VSIR	1.81204683574088e-34	0.250666956412209	0.397	0.246	3.89082696570283e-30	2	VSIR
CRIP1	2.18318243829389e-34	0.308066568035552	0.331	0.2	4.68772933150464e-30	2	CRIP1
RPL36A	9.66940705601354e-34	0.251778645381149	0.838	0.735	2.07621508306723e-29	2	RPL36A
SOD11	1.0914672211341e-32	0.360297541912324	0.72	0.595	2.34359841721914e-28	2	SOD1
CD83	7.79306146244975e-25	0.276109550701327	0.621	0.49	1.67332615721721e-20	2	CD83
